Wn	Wp	Vout	Vin
3.7	1.25	8.996289e-01	6.440000e-01
3.7	1.65	8.995928e-01	6.680000e-01
3.7	2.45	9.005356e-01	7.070000e-01
3.7	3.15	8.990062e-01	7.350000e-01
3.7	4.55	8.992701e-01	7.800000e-01
3.75	1.6	9.003369e-01	6.640000e-01
3.75	1.9	8.998314e-01	6.800000e-01
3.75	2	8.994407e-01	6.850000e-01
3.75	2.6	9.003409e-01	7.120000e-01
3.75	2.95	8.995082e-01	7.260000e-01
3.75	4.4	9.007238e-01	7.740000e-01
3.8	1.55	9.009676e-01	6.600000e-01
3.8	1.75	9.004693e-01	6.710000e-01
3.8	2.35	8.992004e-01	7.000000e-01
3.8	3.15	9.000643e-01	7.320000e-01
3.8	3.55	9.001451e-01	7.460000e-01
3.8	3.7	8.995399e-01	7.510000e-01
3.8	3.95	8.990362e-01	7.590000e-01
3.8	4.05	9.007781e-01	7.620000e-01
3.8	4.35	8.996620e-01	7.710000e-01
3.85	1.3	9.002864e-01	6.440000e-01
3.85	1.85	9.007343e-01	6.750000e-01
3.85	2.45	8.999514e-01	7.030000e-01
3.85	3	9.005184e-01	7.250000e-01
3.85	4	8.991881e-01	7.590000e-01
3.85	4.1	9.001796e-01	7.620000e-01
3.85	4.2	9.001154e-01	7.650000e-01
3.85	4.3	8.990327e-01	7.680000e-01
3.85	4.8	8.991239e-01	7.820000e-01
3.9	1.3	8.996378e-01	6.430000e-01
3.9	1.5	8.996040e-01	6.550000e-01
3.9	2.6	8.994474e-01	7.080000e-01
3.9	2.65	9.002473e-01	7.100000e-01
3.9	2.7	9.005486e-01	7.120000e-01
3.9	2.75	9.003667e-01	7.140000e-01
3.9	2.8	8.997160e-01	7.160000e-01
3.9	3.2	8.990566e-01	7.310000e-01
3.9	3.4	8.993869e-01	7.380000e-01
3.9	3.55	9.009605e-01	7.430000e-01
3.9	3.7	8.996302e-01	7.480000e-01
3.9	4.05	8.993362e-01	7.590000e-01
3.9	4.15	8.995950e-01	7.620000e-01
3.9	4.75	9.003460e-01	7.790000e-01
3.9	4.9	9.004409e-01	7.830000e-01
3.95	1.3	8.993533e-01	6.420000e-01
3.95	1.45	9.004569e-01	6.510000e-01
